leading_item_id,following_item_id,value
ANWUJOKX,QVLMOEYE,1080786
ANWUJOKX,RAWUKQMJ,3868824
ANWUJOKX,RCBZUSIM,33314
ANWUJOKX,SDWAYPIK,5083346
ANWUJOKX,UGEQLMXM,190936
ANWUJOKX,UXSPKBJR,379872
ANWUJOKX,VBYCLTYZ,300117
ANWUJOKX,VMAQSTJE,76563
ANWUJOKX,WBLJNPZQ,204522
ANWUJOKX,WQMVCOEM,69557
ANWUJOKX,XUOIQPFL,3245599
APQGTRMF,ANWUJOKX,31163
APQGTRMF,ATLDMDBO,38996647
APQGTRMF,AXULOHBQ,65601
APQGTRMF,BEZYMBBT,3938075
APQGTRMF,BJALXPFS,137368
APQGTRMF,BSRMSVTC,284666
APQGTRMF,BTMOEMEP,12922942
APQGTRMF,DBWLZWNK,212013
APQGTRMF,DJBLNPNC,31913
APQGTRMF,DNMPSKTB,5228250
APQGTRMF,DUCMGGNW,825516
APQGTRMF,FDXPMYGF,30122
APQGTRMF,FRHNWLNI,806301
APQGTRMF,GYHKIVQT,20907868
APQGTRMF,HXYSSRXE,4913297
APQGTRMF,JPBRUTWP,5456480
APQGTRMF,OGAFEHLU,30122
APQGTRMF,OKMBFVKS,1781472
APQGTRMF,OXKURKXR,103335
APQGTRMF,QKXNTIIB,2459702
APQGTRMF,QRKRBYJL,2645939
APQGTRMF,QVLMOEYE,1116188
APQGTRMF,RAWUKQMJ,3844731
APQGTRMF,RCBZUSIM,33314
APQGTRMF,SDWAYPIK,5059406
APQGTRMF,UIFPPCLR,84203
APQGTRMF,VMAQSTJE,70104
APQGTRMF,WBLJNPZQ,194664
APQGTRMF,WHPUAOID,45386
APQGTRMF,WQMVCOEM,59698
APQGTRMF,XUOIQPFL,3191928
ATLDMDBO,ANWUJOKX,34290
ATLDMDBO,APQGTRMF,50181
ATLDMDBO,AXULOHBQ,79473
ATLDMDBO,BEZYMBBT,3622227
ATLDMDBO,BJALXPFS,150113
ATLDMDBO,BLANHGYY,34117
ATLDMDBO,BSRMSVTC,307933
ATLDMDBO,BTMOEMEP,13466303
ATLDMDBO,DBWLZWNK,235281
ATLDMDBO,DNMPSKTB,5591093
ATLDMDBO,FDXPMYGF,33154
ATLDMDBO,GMBFCMIU,34176
ATLDMDBO,GYHKIVQT,22311371
ATLDMDBO,HXYSSRXE,5149600
ATLDMDBO,IGDVVKUD,30642
ATLDMDBO,JBVHSUWY,342798
ATLDMDBO,JPBRUTWP,5224416
ATLDMDBO,LRVGFDFM,8415787
ATLDMDBO,OGAFEHLU,32028
ATLDMDBO,OKMBFVKS,1755132
ATLDMDBO,OXKURKXR,103335
ATLDMDBO,QRKRBYJL,2619599
ATLDMDBO,QVLMOEYE,1088916
ATLDMDBO,RAWUKQMJ,3917852
ATLDMDBO,RCBZUSIM,31913
ATLDMDBO,SDWAYPIK,5200214
ATLDMDBO,UGEQLMXM,193822
ATLDMDBO,UIFPPCLR,84203
ATLDMDBO,UXSPKBJR,379872
ATLDMDBO,VBYCLTYZ,300117
ATLDMDBO,VWMBASNE,137456
ATLDMDBO,WBLJNPZQ,204522
ATLDMDBO,WQMVCOEM,72329
ATLDMDBO,XIIEJNEE,70441
ATLDMDBO,XUOIQPFL,3315538
AXULOHBQ,BJALXPFS,137368
AXULOHBQ,BSRMSVTC,310833
AXULOHBQ,DNMPSKTB,5339860
AXULOHBQ,FDXPMYGF,30122
AXULOHBQ,GYHKIVQT,20907868
AXULOHBQ,HCDTGMST,78232
AXULOHBQ,HXYSSRXE,5124484
AXULOHBQ,KEUWZRKO,338119
AXULOHBQ,LUENUFGA,3513552
AXULOHBQ,OGAFEHLU,31913
AXULOHBQ,OKMBFVKS,1755132
AXULOHBQ,PLMZALFA,34176
AXULOHBQ,PYZMVUWD,31913
AXULOHBQ,QJQJSWFU,127684
AXULOHBQ,SAHWCZNH,2221512
AXULOHBQ,SDWAYPIK,5059406
AXULOHBQ,SUOYXCHP,38469
AXULOHBQ,VMAQSTJE,75163
AXULOHBQ,WBLJNPZQ,210308
AXULOHBQ,XIFHSOWQ,79758
AXULOHBQ,XUOIQPFL,3315538
BEZYMBBT,ANWUJOKX,34290
BEZYMBBT,APQGTRMF,53374
BEZYMBBT,ATLDMDBO,38996647
BEZYMBBT,BTMOEMEP,12755079
BEZYMBBT,DBWLZWNK,235281
BEZYMBBT,DNMPSKTB,5339860
BEZYMBBT,GYHKIVQT,21600637
BEZYMBBT,HXYSSRXE,4913297
BEZYMBBT,JPBRUTWP,5362142
BEZYMBBT,OKMBFVKS,1695297
BEZYMBBT,OXKURKXR,93476
BEZYMBBT,QRKRBYJL,2442221
BEZYMBBT,QVLMOEYE,1116188
BEZYMBBT,RAWUKQMJ,3844731
BEZYMBBT,RCBZUSIM,30122
BEZYMBBT,SDWAYPIK,5200214
BEZYMBBT,STZDBITS,32961290
BEZYMBBT,UIFPPCLR,84317
BEZYMBBT,WBLJNPZQ,210308
BEZYMBBT,WQMVCOEM,72329
BEZYMBBT,XUOIQPFL,3315538
BJALXPFS,AXULOHBQ,65601
BJALXPFS,BSRMSVTC,284666
BJALXPFS,BTMOEMEP,12755079
BJALXPFS,DNMPSKTB,5197327
BJALXPFS,FITUEHWN,73896
BJALXPFS,GYHKIVQT,20907868
BJALXPFS,KEUWZRKO,300911
BJALXPFS,OGAFEHLU,30122
BJALXPFS,OKMBFVKS,1695297
BJALXPFS,PLMZALFA,31163
BJALXPFS,QJQJSWFU,148571
BJALXPFS,QRKRBYJL,2442221
BJALXPFS,QSDCUCLB,32028
BJALXPFS,QVLMOEYE,1066211
BJALXPFS,RAWUKQMJ,3917852
BJALXPFS,RCBZUSIM,31913
BJALXPFS,SDWAYPIK,5059406
BJALXPFS,SNHYOVBM,306913
BJALXPFS,SUOYXCHP,39869
BJALXPFS,UGEQLMXM,200070
BJALXPFS,UIFPPCLR,74971
BJALXPFS,VBYCLTYZ,275259
BJALXPFS,VMAQSTJE,75163
BJALXPFS,WBLJNPZQ,204522
BJALXPFS,XIFHSOWQ,79758
BJALXPFS,XUOIQPFL,3315538
BLANHGYY,AXULOHBQ,75460
BLANHGYY,BJALXPFS,165870
BLANHGYY,BSRMSVTC,284666
BLANHGYY,DNMPSKTB,5228250
BLANHGYY,FDXPMYGF,35089
BLANHGYY,FITUEHWN,61265
BLANHGYY,GIKPEWTY,37352
BLANHGYY,HCDTGMST,65601
BLANHGYY,HXYSSRXE,4981951
BLANHGYY,JBVHSUWY,315487
BLANHGYY,JERHKLYW,45010
BLANHGYY,JPBRUTWP,5224416
BLANHGYY,KEUWZRKO,300911
BLANHGYY,LRVGFDFM,8062733
BLANHGYY,LSOIUSXD,196434
BLANHGYY,LUENUFGA,3513552
BLANHGYY,OGAFEHLU,30122
BLANHGYY,PLMZALFA,31163
BLANHGYY,PYZMVUWD,30122
BLANHGYY,QSDCUCLB,30122
BLANHGYY,RAWUKQMJ,4020206
BLANHGYY,SAHWCZNH,2047239
BLANHGYY,SDWAYPIK,5059406
BLANHGYY,SUOYXCHP,34996
BLANHGYY,TGOELCAG,207434
BLANHGYY,UQYUIVVR,6705162
BLANHGYY,VMAQSTJE,70104
BLANHGYY,WBLJNPZQ,204522
BLANHGYY,WQMVCOEM,69557
BLANHGYY,XIFHSOWQ,79758
BLANHGYY,XUOIQPFL,3191928
BLANHGYY,YSYHGLQK,27449
BSRMSVTC,AHMDUILJ,133942
BSRMSVTC,BEZYMBBT,3789876
BSRMSVTC,DNMPSKTB,5197327
BSRMSVTC,FITUEHWN,71123
BSRMSVTC,GYHKIVQT,22311371
BSRMSVTC,HCDTGMST,75460
BSRMSVTC,JBVHSUWY,344733
BSRMSVTC,JPBRUTWP,5613374
BSRMSVTC,KEUWZRKO,338119
BSRMSVTC,LSOIUSXD,222001
BSRMSVTC,LUENUFGA,3714933
BSRMSVTC,OGAFEHLU,31913
BSRMSVTC,PLMZALFA,34176
BSRMSVTC,PYZMVUWD,31913
BSRMSVTC,QJQJSWFU,127684
BSRMSVTC,QSDCUCLB,33154
BSRMSVTC,SAHWCZNH,2246628
BSRMSVTC,STZDBITS,35924841
BSRMSVTC,SUOYXCHP,39710
BSRMSVTC,TANNMIMB,35417
BSRMSVTC,TGOELCAG,216292
BSRMSVTC,UIFPPCLR,85444
BSRMSVTC,VMAQSTJE,76563
BSRMSVTC,VWMBASNE,137456
BSRMSVTC,XIFHSOWQ,93629
BSRMSVTC,XUOIQPFL,3245599
BTMOEMEP,ANWUJOKX,35576
BTMOEMEP,APQGTRMF,51973
BTMOEMEP,ATLDMDBO,38996647
BTMOEMEP,AXULOHBQ,78232
BTMOEMEP,BEZYMBBT,3764760
BTMOEMEP,BLANHGYY,35404
BTMOEMEP,BSRMSVTC,315512
BTMOEMEP,DBWLZWNK,227151
BTMOEMEP,DJBLNPNC,31913
BTMOEMEP,DNMPSKTB,5339860
BTMOEMEP,FDXPMYGF,31913
BTMOEMEP,FRHNWLNI,836759
BTMOEMEP,GMBFCMIU,34176
BTMOEMEP,GYHKIVQT,21599505
BTMOEMEP,HXYSSRXE,5124484
BTMOEMEP,IGDVVKUD,27449
BTMOEMEP,JBVHSUWY,300911
BTMOEMEP,JPBRUTWP,5362142
BTMOEMEP,LRVGFDFM,8415787
BTMOEMEP,OGAFEHLU,33314
BTMOEMEP,OKMBFVKS,1755132
BTMOEMEP,OXKURKXR,103335
BTMOEMEP,QRKRBYJL,2644714
BTMOEMEP,QSDCUCLB,33154
BTMOEMEP,QVLMOEYE,1116188
BTMOEMEP,RAWUKQMJ,3917852
BTMOEMEP,RCBZUSIM,33154
BTMOEMEP,ROACSLMG,2426557
BTMOEMEP,SDWAYPIK,5083346
BTMOEMEP,SUOYXCHP,39710
BTMOEMEP,UGEQLMXM,190936
BTMOEMEP,UIFPPCLR,84203
BTMOEMEP,UXSPKBJR,407184
BTMOEMEP,VBYCLTYZ,309252
BTMOEMEP,WBLJNPZQ,210308
BTMOEMEP,WQMVCOEM,72329
BTMOEMEP,XIIEJNEE,70441
BTMOEMEP,XUOIQPFL,3340654
BUZIIBYG,ANWUJOKX,34176
BUZIIBYG,ATLDMDBO,39252519
BUZIIBYG,BTMOEMEP,12922942
BUZIIBYG,DJBLNPNC,33314
BUZIIBYG,FDXPMYGF,30411
BUZIIBYG,FRHNWLNI,832079
BUZIIBYG,FWUCPMMW,30642
BUZIIBYG,GIKPEWTY,32673
BUZIIBYG,HXYSSRXE,5124484
BUZIIBYG,KJNSOAHR,13336092
BUZIIBYG,LRVGFDFM,8415787
BUZIIBYG,RJGPVEXX,522240
BUZIIBYG,UXSPKBJR,379872
BUZIIBYG,WBLJNPZQ,210308
BUZIIBYG,WPQXWHYO,12137561
BUZIIBYG,WQMVCOEM,72329
BUZIIBYG,XIIEJNEE,78456
BUZIIBYG,ZXERAXWP,37480
CCLHWFWF,AHMDUILJ,133942
CCLHWFWF,DBWLZWNK,212013
CCLHWFWF,FCYBOAXC,110432708
CCLHWFWF,FITUEHWN,71123
CCLHWFWF,FQCLOEXA,1825587
CCLHWFWF,FWUCPMMW,30482
CCLHWFWF,JBVHSUWY,342798
CCLHWFWF,JPBRUTWP,5362142
CCLHWFWF,JSLXRQOK,30482
CCLHWFWF,LRVGFDFM,8415787
CCLHWFWF,LSOIUSXD,217322
CCLHWFWF,LTOYKIML,348895
CCLHWFWF,NZKBIBNU,258129
CCLHWFWF,OGAFEHLU,30122
CCLHWFWF,PLMZALFA,34176
CCLHWFWF,QKXNTIIB,2597803
CCLHWFWF,QVLMOEYE,1120867
CCLHWFWF,UGEQLMXM,201311
CCLHWFWF,VBYCLTYZ,310493
CCLHWFWF,VUAFAIYJ,751944
CCLHWFWF,VWMBASNE,137456
CCLHWFWF,WHPUAOID,50100
CCLHWFWF,XIPPENFQ,124129
DBWLZWNK,ANWUJOKX,35417
DBWLZWNK,APQGTRMF,53374
DBWLZWNK,ATLDMDBO,39253973
DBWLZWNK,AXULOHBQ,81408
DBWLZWNK,BEZYMBBT,3789876
DBWLZWNK,BJALXPFS,156188
DBWLZWNK,BLANHGYY,37179
DBWLZWNK,BTMOEMEP,14373714
DBWLZWNK,DJBLNPNC,35089
DBWLZWNK,DNMPSKTB,5630815
DBWLZWNK,DUCMGGNW,926545
DBWLZWNK,FDXPMYGF,35089
DBWLZWNK,FRHNWLNI,876481
DBWLZWNK,FTSVTTSR,222553
DBWLZWNK,FWUCPMMW,30482
DBWLZWNK,GIKPEWTY,37352
DBWLZWNK,GMBFCMIU,35417
DBWLZWNK,GYHKIVQT,21167346
DBWLZWNK,HXYSSRXE,5209981
DBWLZWNK,IGDVVKUD,32417
DBWLZWNK,JBVHSUWY,354415
DBWLZWNK,JPBRUTWP,5242010
DBWLZWNK,JSLXRQOK,32417
DBWLZWNK,LRVGFDFM,8440902
DBWLZWNK,LSOIUSXD,222001
DBWLZWNK,NAQIHUKZ,33154
DBWLZWNK,NZKBIBNU,291762
DBWLZWNK,OKMBFVKS,1768881
DBWLZWNK,OXKURKXR,103335
DBWLZWNK,QRKRBYJL,2644714
DBWLZWNK,QVLMOEYE,1080786
DBWLZWNK,RAWUKQMJ,3982690
DBWLZWNK,RCBZUSIM,33154
DBWLZWNK,SDWAYPIK,5246055
DBWLZWNK,UIFPPCLR,87379
DBWLZWNK,UXSPKBJR,379872
DBWLZWNK,VBYCLTYZ,310493
DBWLZWNK,WBLJNPZQ,213485
DBWLZWNK,WHPUAOID,52035
DDEXPPXU,DEWLVASR,343011
DDEXPPXU,FRHNWLNI,806301
DDEXPPXU,FTSVTTSR,195052
DDEXPPXU,GKQIJYDH,21712653
DDEXPPXU,JSLXRQOK,27449
DDEXPPXU,NZKBIBNU,272705
DDEXPPXU,OJIFIHMZ,2679677
DDEXPPXU,ZKENOUDA,315487
DEWLVASR,AANGBULD,277258
DEWLVASR,ELQGMQWE,555127
DEWLVASR,EVBVXETX,5175144
DEWLVASR,FCYBOAXC,110428447
DEWLVASR,FQCLOEXA,1825962
DEWLVASR,FTSVTTSR,213039
DEWLVASR,KFQSHBNH,9774836
DEWLVASR,KJNSOAHR,12683867
DEWLVASR,MBSBZBXA,4279996
DEWLVASR,RJCAXSGH,4560538
DEWLVASR,WPQXWHYO,12530226
DEWLVASR,ZCELVYQU,192429
DEWLVASR,ZGJXVMNI,2808361
DEWLVASR,ZKENOUDA,300911
DEWLVASR,ZXERAXWP,38983
DJBLNPNC,ANWUJOKX,35576
DJBLNPNC,AXULOHBQ,75460
DJBLNPNC,BLANHGYY,35404
DJBLNPNC,BSRMSVTC,299804
DJBLNPNC,CCLHWFWF,26264057
DJBLNPNC,DNMPSKTB,5197327
DJBLNPNC,DUCMGGNW,850374
DJBLNPNC,FDXPMYGF,33314
DJBLNPNC,FITUEHWN,71123
DJBLNPNC,FRHNWLNI,820876
DJBLNPNC,GIKPEWTY,35576
DJBLNPNC,HCDTGMST,75460
DJBLNPNC,LRVGFDFM,8138960
DJBLNPNC,MBSBZBXA,4376701
DJBLNPNC,PLMZALFA,35576
DJBLNPNC,SUOYXCHP,39869
DJBLNPNC,TANNMIMB,35576
DJBLNPNC,TGOELCAG,216292
DJBLNPNC,UQYUIVVR,6213431
DJBLNPNC,UXSPKBJR,379872
DJBLNPNC,VMAQSTJE,76563
DJBLNPNC,WBLJNPZQ,204522
DJBLNPNC,WHPUAOID,50259
DJBLNPNC,WQMVCOEM,69557
DNMPSKTB,ANWUJOKX,32673
DNMPSKTB,APQGTRMF,50181
DNMPSKTB,ATLDMDBO,38995349
DNMPSKTB,AXULOHBQ,65601
DNMPSKTB,BEZYMBBT,3727807
DNMPSKTB,BTMOEMEP,13361256
DNMPSKTB,DBWLZWNK,212013
DNMPSKTB,DJBLNPNC,30122
DNMPSKTB,GMBFCMIU,34290
DNMPSKTB,GYHKIVQT,20907868
DNMPSKTB,HXYSSRXE,5087531
DNMPSKTB,IGDVVKUD,27449
DNMPSKTB,JBVHSUWY,305199
DNMPSKTB,JPBRUTWP,5242010
DNMPSKTB,LRVGFDFM,8062733
DNMPSKTB,LSOIUSXD,196434
DNMPSKTB,OGAFEHLU,33314
DNMPSKTB,OKMBFVKS,1734407
DNMPSKTB,OXKURKXR,93476
DNMPSKTB,PYZMVUWD,30122
DNMPSKTB,QJQJSWFU,127684
DNMPSKTB,QRKRBYJL,2529523
DNMPSKTB,QSDCUCLB,30122
DNMPSKTB,QVLMOEYE,1088916
DNMPSKTB,RAWUKQMJ,3897127
DNMPSKTB,RCBZUSIM,33314
DNMPSKTB,SDWAYPIK,5200214
DNMPSKTB,UGEQLMXM,190936
DNMPSKTB,UIFPPCLR,74971
DNMPSKTB,VBYCLTYZ,303004
DNMPSKTB,VMAQSTJE,75277
DNMPSKTB,VWMBASNE,123969
DNMPSKTB,WBLJNPZQ,198220
DNMPSKTB,XIFHSOWQ,79758
DNMPSKTB,XIIEJNEE,70441
DNMPSKTB,XUOIQPFL,3191928
DUCMGGNW,BLANHGYY,32211
DUCMGGNW,BUZIIBYG,18229993
DUCMGGNW,FRHNWLNI,836759
DUCMGGNW,HXYSSRXE,5124484
DUCMGGNW,KEUWZRKO,338119
DUCMGGNW,OGAFEHLU,35089
DUCMGGNW,QSDCUCLB,31913
DUCMGGNW,RAWUKQMJ,3844731
DUCMGGNW,SUOYXCHP,39710
DUCMGGNW,TANNMIMB,34176
DUCMGGNW,UXSPKBJR,360749
ELQGMQWE,AANGBULD,277258
ELQGMQWE,CCLHWFWF,26019872
ELQGMQWE,DEWLVASR,328435
ELQGMQWE,FITUEHWN,61265
ELQGMQWE,FQCLOEXA,1811386
ELQGMQWE,FTSVTTSR,195052
ELQGMQWE,GIKPEWTY,31163
ELQGMQWE,JSLXRQOK,27449
ELQGMQWE,KFQSHBNH,9774836
ELQGMQWE,KJNSOAHR,12683867
ELQGMQWE,LLHREMKS,68303
ELQGMQWE,NAQIHUKZ,30122
ELQGMQWE,RJCAXSGH,4560538
ELQGMQWE,RJGPVEXX,507664
ELQGMQWE,RUVXNNVA,31163
ELQGMQWE,STZDBITS,32961290
ELQGMQWE,XIIEJNEE,60582
ELQGMQWE,YSYHGLQK,27449
ELQGMQWE,ZGJXVMNI,2757908
ELQGMQWE,ZKENOUDA,300911
ELQGMQWE,ZXERAXWP,35511
EVBVXETX,ANWUJOKX,31163
EVBVXETX,ATLDMDBO,38995349
EVBVXETX,AXULOHBQ,69157
EVBVXETX,BJALXPFS,147226
EVBVXETX,BLANHGYY,32211
EVBVXETX,BTMOEMEP,12922942
EVBVXETX,BUZIIBYG,17736179
EVBVXETX,DJBLNPNC,33314
EVBVXETX,DNMPSKTB,5184188
EVBVXETX,FDXPMYGF,33314
EVBVXETX,FQCLOEXA,1825962
EVBVXETX,FRHNWLNI,820876
EVBVXETX,HXYSSRXE,4917751
EVBVXETX,IGDVVKUD,30642
EVBVXETX,JSLXRQOK,30642
EVBVXETX,KJNSOAHR,12892093
EVBVXETX,NZKBIBNU,272705
EVBVXETX,QRKRBYJL,2484083
EVBVXETX,QVLMOEYE,1080786
EVBVXETX,RCBZUSIM,33314
EVBVXETX,UXSPKBJR,360749
EVBVXETX,VBYCLTYZ,300117
EVBVXETX,WPQXWHYO,12137561
EVBVXETX,WQMVCOEM,69557
EVBVXETX,ZCELVYQU,189542
FCYBOAXC,FRHNWLNI,820876
FCYBOAXC,FWUCPMMW,30642
FCYBOAXC,GIKPEWTY,32673
FCYBOAXC,VUAFAIYJ,724632
FCYBOAXC,VWMBASNE,130429
FCYBOAXC,WBLJNPZQ,198220
FDXPMYGF,BJALXPFS,154253
FDXPMYGF,BSRMSVTC,299804
FDXPMYGF,CCLHWFWF,26264057
FDXPMYGF,DNMPSKTB,5228250
FDXPMYGF,DUCMGGNW,825516
FDXPMYGF,FITUEHWN,61265
FDXPMYGF,HCDTGMST,65601
FDXPMYGF,HXYSSRXE,4913297
FDXPMYGF,JERHKLYW,48042
FDXPMYGF,JPBRUTWP,5631138
FDXPMYGF,KEUWZRKO,342798
FDXPMYGF,LSOIUSXD,222001
FDXPMYGF,LUENUFGA,3721407
FDXPMYGF,MBSBZBXA,4279996
FDXPMYGF,OGAFEHLU,33154
FDXPMYGF,PLMZALFA,31163
FDXPMYGF,PYZMVUWD,30122
FDXPMYGF,QSDCUCLB,30122
FDXPMYGF,SAHWCZNH,2103133
FDXPMYGF,STZDBITS,32961290
FDXPMYGF,SUOYXCHP,39869
FDXPMYGF,TANNMIMB,31163
FDXPMYGF,TGOELCAG,207434
FDXPMYGF,UGEQLMXM,177092
FDXPMYGF,UIFPPCLR,74971
FDXPMYGF,VMAQSTJE,70104
FDXPMYGF,WBLJNPZQ,194664
FDXPMYGF,WQMVCOEM,59698
FDXPMYGF,XIFHSOWQ,79758
FITUEHWN,ANWUJOKX,34290
FITUEHWN,DJBLNPNC,30122
FITUEHWN,FDXPMYGF,30122
FITUEHWN,KFQSHBNH,9774836
FITUEHWN,KJNSOAHR,12892093
FITUEHWN,QSDCUCLB,30122
FITUEHWN,RCBZUSIM,30122
FITUEHWN,SAAYMURU,40384
FITUEHWN,STZDBITS,32961290
FITUEHWN,TANNMIMB,31163
FITUEHWN,UGEQLMXM,177092
FITUEHWN,WBLJNPZQ,194664
FITUEHWN,XMKRPGLB,894373
FITUEHWN,XUOIQPFL,3191928
FQCLOEXA,AANGBULD,279228
FQCLOEXA,ATLDMDBO,38996647
FQCLOEXA,BLANHGYY,32211
FQCLOEXA,DEWLVASR,343011
FQCLOEXA,DJBLNPNC,30122
FQCLOEXA,EVBVXETX,5157551
FQCLOEXA,FITUEHWN,61265
FQCLOEXA,FRHNWLNI,806301
FQCLOEXA,FWUCPMMW,27449
FQCLOEXA,GMBFCMIU,35576
FQCLOEXA,IGDVVKUD,27449
FQCLOEXA,JSLXRQOK,27449
FQCLOEXA,KAGJCHMR,28947
FQCLOEXA,KFQSHBNH,9774836
FQCLOEXA,KJNSOAHR,12683867
FQCLOEXA,LLHREMKS,71859
FQCLOEXA,NZKBIBNU,258129
FQCLOEXA,RJCAXSGH,4560538
FQCLOEXA,SAAYMURU,35511
FQCLOEXA,SNHYOVBM,306913
FQCLOEXA,VBYCLTYZ,275259
FQCLOEXA,WPQXWHYO,12145996
FQCLOEXA,WQMVCOEM,59698
FQCLOEXA,ZCELVYQU,179389
FQCLOEXA,ZKENOUDA,315487
FQCLOEXA,ZXERAXWP,35511
FRHNWLNI,ATLDMDBO,39252519
FRHNWLNI,BJALXPFS,137368
FRHNWLNI,BLANHGYY,34003
FRHNWLNI,DNMPSKTB,5339860
FRHNWLNI,DUCMGGNW,893337
FRHNWLNI,FDXPMYGF,31913
FRHNWLNI,GMBFCMIU,31163
FRHNWLNI,GYHKIVQT,21600637
FRHNWLNI,HXYSSRXE,5124484
FRHNWLNI,IGDVVKUD,29241
FRHNWLNI,JPBRUTWP,5224416
FRHNWLNI,LRVGFDFM,8415787
FRHNWLNI,QJQJSWFU,148571
FRHNWLNI,QRKRBYJL,2619599
FRHNWLNI,QVLMOEYE,1116188
FRHNWLNI,RAWUKQMJ,3917852
FRHNWLNI,RCBZUSIM,31913
FRHNWLNI,SDWAYPIK,5220939
FRHNWLNI,UGEQLMXM,200070
FRHNWLNI,UIFPPCLR,74971
FRHNWLNI,UXSPKBJR,402504
FRHNWLNI,VBYCLTYZ,309252
FRHNWLNI,WQMVCOEM,72329
FRHNWLNI,ZCELVYQU,195328
FTSVTTSR,DBWLZWNK,212013
FTSVTTSR,DEWLVASR,343011
FTSVTTSR,ELQGMQWE,529652
FTSVTTSR,FQCLOEXA,1825587
FTSVTTSR,GKQIJYDH,21977503
FTSVTTSR,KAGJCHMR,32419
FTSVTTSR,KFQSHBNH,9774836
FTSVTTSR,LLHREMKS,74762
FTSVTTSR,MBSBZBXA,4583645
FTSVTTSR,QKXNTIIB,2572687
FTSVTTSR,RJCAXSGH,4772175
FTSVTTSR,RUVXNNVA,34176
FTSVTTSR,SAAYMURU,40384
FTSVTTSR,SNHYOVBM,344121
FTSVTTSR,STZDBITS,33453679
FTSVTTSR,SUOYXCHP,39869
FTSVTTSR,TGOELCAG,233682
FTSVTTSR,UGEQLMXM,193822
FTSVTTSR,XIIEJNEE,78456
FTSVTTSR,YSYHGLQK,30642
FTSVTTSR,ZCELVYQU,179389
FTSVTTSR,ZKENOUDA,315487
FTSVTTSR,ZXERAXWP,39097
FWUCPMMW,AXULOHBQ,75460
FWUCPMMW,BLANHGYY,35404
FWUCPMMW,BSRMSVTC,319248
FWUCPMMW,DUCMGGNW,825516
FWUCPMMW,FDXPMYGF,30122
FWUCPMMW,FITUEHWN,61265
FWUCPMMW,FRHNWLNI,880712
FWUCPMMW,FTSVTTSR,195052
FWUCPMMW,GIKPEWTY,31163
FWUCPMMW,HCDTGMST,65601
FWUCPMMW,JSLXRQOK,32417
FWUCPMMW,LLHREMKS,68303
FWUCPMMW,NAQIHUKZ,30122
FWUCPMMW,RCBZUSIM,35089
FWUCPMMW,RUVXNNVA,37352
FWUCPMMW,STZDBITS,32961290
FWUCPMMW,SUOYXCHP,41645
